id,query,response
SYN004,¿Tienes platos del Mediterráneo que sean kosher pero sin leche ni queso?,"# Ensalada de Garbanzos Mediterránea

**Cuisine Type:** Mediterráneo  
**Prep Time:** 15 minutos | **Cook Time:** 0 minutos | **Total:** 15 minutos  
**Difficulty:** Easy | **Serves:** 4 personas  

## Why This Recipe Works
Esta ensalada de garbanzos es fresca, nutritiva y perfecta para un almuerzo ligero o una cena. Combina la cremosidad de los garbanzos con la frescura de las verduras y la acidez del limón, creando un equilibrio de sabores muy satisfactorio.

## Ingredients
- 1 lata (400 g) de garbanzos, escurridos y enjuagados  
- 1 pepino, picado en cubos  
- 1 tomate grande, picado en cubos  
- 1/2 cebolla roja pequeña, finamente picada  
- 1 pimiento rojo, picado en cubos  
- 1/4 taza de perejil fresco, finamente picado  
- 1/4 taza de aceite de oliva  
- Jugo de 1 limón  
- Sal y pimienta al gusto  
- 1 cucharadita de comino en polvo (opcional)  

## Instructions
1. **Preparar los ingredientes:** En un tazón grande, coloca los garbanzos escurridos y enjuagados. Agrega el pepino, tomate, cebolla roja, pimiento rojo y perejil picado. Mezcla suavemente para combinarlos.
2. **Aderezar la ensalada:** En un tazón pequeño, mezcla el aceite de oliva, el jugo de limón, sal, pimienta y comino (si lo usas) hasta que esté bien combinado.
3. **Combinar y servir:** Vierte el aderezo sobre la ensalada y mezcla suavemente para asegurarte de que los ingredientes estén bien cubiertos. Prueba y ajusta la sal y pimienta si es necesario.
4. **Refrigerar (opcional):** Si tienes tiempo, deja que la ensalada repose en el refrigerador durante 15-30 minutos para que los sabores se integren mejor.

## Pro Tips
- Para una mayor frescura, utiliza ingredientes de temporada. Puedes añadir aceitunas negras o alcaparras para un toque adicional de sabor.
- Asegúrate de que todos los ingredientes sean kosher si estás siguiendo esa dieta.

## Variations
- Sustituye el perejil por albahaca o cilantro para dar un nuevo perfil de sabor.
- Agrega aguacate picado para una cremosidad natural sin lácteos."
SYN002,Ideas de desayuno paleto rápido para dos personas,"# Tostadas Francesas Rápidas

**Cuisine Type:** Americana  
**Prep Time:** 10 minutos | **Cook Time:** 10 minutos | **Total:** 20 minutos  
**Difficulty:** Fácil | **Serves:** 2 personas  

## Why This Recipe Works
Las tostadas francesas son un desayuno clásico que combina la suavidad del pan con la dulzura de la miel y el sabor de la canela. Son rápidas de hacer y siempre resultan reconfortantes.

## Ingredients
- 4 rebanadas de pan (preferentemente del día anterior)
- 2 huevos
- 1/2 taza de leche
- 1 cucharadita de canela en polvo
- 1 cucharadita de extracto de vainilla (opcional)
- Mantequilla (para engrasar la sartén)
- Miel o jarabe de arce (para servir)
- Frutas frescas (opcional, como plátanos o fresas)

## Instructions
1. **Prepara la mezcla:** En un tazón, bate los 2 huevos con la leche, la canela y el extracto de vainilla hasta que esté bien combinado.
   
2. **Calienta la sartén:** Coloca una sartén a fuego medio y agrega una pequeña cantidad de mantequilla (aproximadamente 1 cucharadita), dejando que se derrita y cubra bien la superficie.

3. **Empapa el pan:** Sumerge cada rebanada de pan en la mezcla de huevo, asegurándote de que ambas caras estén bien empapadas, pero no en exceso (aproximadamente 5-10 segundos por lado).

4. **Cocina el pan:** Coloca las rebanadas empapadas en la sartén caliente. Cocina cada cara durante 2-3 minutos o hasta que estén doradas y firmes al tacto. 

5. **Sirve:** Retira las tostadas de la sartén y sírvelas calientes. Agrega miel o jarabe de arce al gusto y, si lo deseas, decora con frutas frescas.

## Pro Tips
- Si deseas un sabor extra, puedes añadir una pizca de nuez moscada a la mezcla de huevo.
- Para que las tostadas se mantengan calientes mientras cocinas más, colócalas en un plato en el horno a baja temperatura (alrededor de 90°C o 200°F).

## Variations
- Para una versión más saludable, usa pan integral o un pan con semillas.
- Agrega un poco de chocolate derretido o nutella entre las rebanadas antes de empaparlas para un toque indulgente."
SYN007,Soy intolerante al gluten y busco ideas bajas en carbohidratos para el almuerzo,"# Ensalada de Pollo a la Parrilla con Aguacate y Espinacas

**Cuisine Type:** Ensalada fresca
**Prep Time:** 10 minutos | **Cook Time:** 15 minutos | **Total:** 25 minutos
**Difficulty:** Easy | **Serves:** 2 personas

## Why This Recipe Works
Esta ensalada es una combinación perfecta de proteínas magras, grasas saludables y verduras frescas, ideal para una comida baja en carbohidratos. El pollo a la parrilla aporta un sabor ahumado, mientras que el aguacate le da cremosidad y un toque saludable.

## Ingredients
- 250 g de pechuga de pollo
- 4 tazas de espinacas frescas
- 1 aguacate maduro, en cubos
- 1/2 pimiento rojo, cortado en tiras
- 1/4 de cebolla morada, en rodajas finas
- 2 cucharadas de aceite de oliva
- 1 cucharada de jugo de limón
- Sal y pimienta al gusto

## Instructions
1. **Preparar el pollo:** Sazona la pechuga de pollo con sal, pimienta y una cucharada de aceite de oliva. Precalienta una parrilla o sartén a fuego medio-alto. Cocina el pollo durante 6-7 minutos por lado, o hasta que esté dorado y cocido (temperatura interna de 75°C). Retira del fuego y deja enfriar un poco antes de cortarlo en tiras.

2. **Montar la ensalada:** En un tazón grande, combina las espinacas, el pimiento rojo y la cebolla morada. Añade los cubos de aguacate.

3. **Aliñar:** En un tazón pequeño, mezcla la cucharada restante de aceite de oliva con el jugo de limón, sal y pimienta al gusto. Vierte este aderezo sobre las verduras y mezcla suavemente.

4. **Agregar el pollo:** Añade las tiras de pollo a la ensalada y mezcla con cuidado para que el aguacate no se aplaste.

5. **Servir:** Divide la ensalada en dos platos y disfruta de inmediato.

## Pro Tips
- Puedes marinar el pollo en especias como pimentón ahumado o ajo en polvo para darle un toque extra de sabor.
- Si estás buscando un extra crujiente, añade nueces o semillas tostadas, como nueces pecanas o semillas de girasol.

## Variations
- Sustituye el pollo por atún o garbanzos cocidos para una opción vegetariana.
- Añade otras verduras como pepino o rábanos para más frescura y diferentes texturas."
SYN006,Recetas sin gluten y bajas en carbohidratos para almorzar con amigos,"# Ensalada de Pollo Mediterránea

**Cuisine Type:** Mediterráneo  
**Prep Time:** 15 minutos | **Cook Time:** 10 minutos | **Total:** 25 minutos  
**Difficulty:** Easy | **Serves:** 4 personas  

## Why This Recipe Works  
Esta ensalada es fresca, llena de sabor y muy nutritiva. La combinación de pollo tierno, verduras crujientes y un aderezo de limón crea un plato equilibrado y delicioso, perfecto para compartir con amigos. Además, es sin gluten y baja en carbohidratos.

## Ingredients
- 500 g de pechuga de pollo sin piel
- 1 cucharada de aceite de oliva
- Sal y pimienta al gusto
- 1 lechuga romana, picada
- 1 pepino, cortado en cubos
- 200 g de tomates cherry, cortados a la mitad
- 100 g de aceitunas negras, en rodajas
- 100 g de queso feta, desmenuzado
- Jugo de 1 limón
- 1 cucharadita de orégano seco

## Instructions
1. **Cocinar el pollo:** En una sartén grande, calienta el aceite de oliva a fuego medio. Sazona las pechugas de pollo con sal y pimienta. Añade el pollo a la sartén y cocina durante 5-7 minutos por cada lado, o hasta que esté dorado y cocido por completo (la temperatura interna debe alcanzar 75°C). Retira del fuego y deja enfriar un poco antes de cortar en tiras.
   
2. **Preparar la ensalada:** En un tazón grande, combina la lechuga romana, el pepino, los tomates cherry, las aceitunas y el queso feta. Mezcla bien.

3. **Agregar aderezo:** En un tazón pequeño, mezcla el jugo de limón y el orégano. Vierte esto sobre la ensalada y mezcla nuevamente para que todos los ingredientes estén bien cubiertos.

4. **Incorporar el pollo:** Añade las tiras de pollo a la ensalada y mezcla suavemente para combinar todos los ingredientes.

5. **Servir:** Divide la ensalada entre platos y disfruta con tus amigos.

## Pro Tips
- Puedes marinar el pollo con un poco de limón y orégano antes de cocinarlo para un sabor extra.
- Esta ensalada se puede preparar en 10 minutos si tienes el pollo cocido y enfriado con antelación.

## Variations
- Sustituye el pollo por garbanzos enlatados para una versión vegetariana.
- Agrega aguacate para obtener una textura cremosa y más sabor.
- Cambia el queso feta por queso de cabra o mozzarella si lo prefieres."
SYN001,¿Qué puedo desayunar si sigo una dieta keto?,"# Tortilla de Espinacas y Queso Feta

**Cuisine Type:** Keto-Friendly
**Prep Time:** 5 minutes | **Cook Time:** 10 minutes | **Total:** 15 minutes
**Difficulty:** Easy | **Serves:** 2 people

## Why This Recipe Works
Esta tortilla es perfecta para el desayuno cetogénico, ya que está llena de proteínas y grasas saludables, además de ser baja en carbohidratos. Las espinacas aportan fibra y nutrientes, mientras que el queso feta agrega un delicioso sabor salado. 

## Ingredients
- 4 huevos grandes
- 1 taza de espinacas frescas, picadas
- 1/2 taza de queso feta, desmenuzado
- 2 cucharadas de mantequilla
- Sal y pimienta al gusto
- (Opcional) 1/4 de cucharadita de ajo en polvo

## Instructions
1. **Batir los huevos**: En un tazón mediano, bate los huevos con un tenedor o un batidor. Agrega una pizca de sal, pimienta y ajo en polvo si lo deseas. Mezcla bien.
   
2. **Calentar la sartén**: Calienta una sartén grande a fuego medio y agrega 1 cucharada de mantequilla. Deja que se derrita y cubra la base de la sartén.

3. **Cocinar las espinacas**: Agrega las espinacas picadas a la sartén caliente y sofríelas durante aproximadamente 2 minutos, hasta que se marchiten y reduzcan su tamaño.

4. **Verter los huevos**: Reduce el fuego a medio-bajo y vierte la mezcla de huevo sobre las espinacas en la sartén. Usa una cuchara o espátula para esparcir las espinacas de manera uniforme.

5. **Agregar el queso**: Espolvorea el queso feta desmenuzado sobre la mezcla de huevo. Cocina durante 5-7 minutos, o hasta que los bordes de la tortilla estén firmes y el centro esté casi cocido pero ligeramente húmedo.

6. **Voltear o doblar**: Si prefieres, puedes voltear la tortilla con cuidado usando una espátula, o simplemente doblarla por la mitad. Cocina un minuto más para terminar de cuajar.

7. **Servir**: Retira la tortilla de la sartén y corta en porciones. ¡Disfruta caliente!

## Pro Tips
- Intenta usar una sartén antiadherente para facilitar la cocción y la limpieza.
- Puedes añadir otros ingredientes cetogénicos como aguacate o tocino, si lo deseas.

## Variations
- Sustituye el queso feta por queso cheddar o mozzarella.
- Agrega otras verduras bajas en carbohidratos como pimientos o champiñones.
- Incorpora hierbas frescas como albahaca o cilantro para un toque adicional de sabor."
SYN013,¿Me das ideas de postres sin huevo para una fiesta?,"```
# Brownies de Chocolate Sin Huevo

**Tipo de Cocina:** Americana
**Prep Time:** 15 minutos | **Cook Time:** 25 minutos | **Total:** 40 minutos
**Dificultad:** Fácil | **Rinde:** 12 porciones

## Por Qué Este Postre Funciona
Estos brownies de chocolate son ricos y fudgy, perfectos para satisfacer esos antojos de dulce sin la necesidad de huevos. La combinación de chocolate y nueces aporta un sabor profundo y texturas deliciosas.

## Ingredientes
- 1 taza (200 g) de azúcar
- 1/2 taza (115 g) de mantequilla derretida
- 1/4 taza (60 ml) de leche (puedes usar leche vegetal si prefieres)
- 1 cucharadita de extracto de vainilla
- 1/3 taza (40 g) de cacao en polvo sin azúcar
- 1 taza (125 g) de harina de trigo
- 1/4 cucharadita de sal
- 1/2 cucharadita de polvo de hornear
- 1/2 taza (90 g) de nueces picadas (opcional)

## Instrucciones
1. **Precalienta el horno:** A 175°C (350°F). Engrasa un molde cuadrado de 9x9 pulgadas (23x23 cm) o forra con papel pergamino.
   
2. **Mezcla los ingredientes húmedos:** En un tazón grande, combina el azúcar y la mantequilla derretida. Añade la leche y el extracto de vainilla, y mezcla hasta que esté bien combinado.

3. **Incorpora los ingredientes secos:** Tamiza el cacao en polvo, la harina, la sal y el polvo de hornear sobre la mezcla húmeda. Mezcla suavemente hasta que todo esté incorporado, pero no mezcles en exceso.

4. **Añade las nueces:** Si estás usando nueces, incorpóralas a la masa.

5. **Hornea:** Vierte la mezcla en el molde preparado y alisa la parte superior. Hornea durante 20-25 minutos, o hasta que al insertar un palillo, éste salga ligeramente húmedo con algunas migajas húmedas.

6. **Enfría y sirve:** Deja enfriar en el molde durante unos minutos antes de cortarlo en cuadrados. 

## Pro Tips
- Para aumentar el sabor, puedes añadir chips de chocolate o trozos de chocolate amargo a la mezcla.
- Asegúrate de no hornear en exceso, esto puede hacer que los brownies queden secos.

## Variaciones
- Agrega un poco de café instantáneo en polvo a la mezcla para intensificar el sabor del chocolate.
- Sustituye las nueces por almendras o agrega frutas secas como arándanos.
```
¡Espero que disfrutes de esta receta y que tus invitados queden encantados!"
SYN005,Comida baja en carbohidratos para el almuerzo sin gluten,"# Ensalada de Pollo al Limón y Aguacate

**Tipo de Cocina:** Saludable, Baja en Carbohidratos  
**Tiempo de Preparación:** 15 minutos | **Tiempo de Cocción:** 10 minutos | **Total:** 25 minutos  
**Dificultad:** Fácil | **Sirve:** 2 personas  

## Por qué esta receta funciona
Esta ensalada es refrescante y satisfactoria, combinando la jugosidad del pollo con la cremosidad del aguacate. El aderezo de limón le da un toque ácido que realza todos los sabores, mientras que las verduras aportan un crujido fresco y un aporte adicional de nutrientes, ¡todo en un plato bajo en carbohidratos y sin gluten!

## Ingredientes
- 2 pechugas de pollo (aprox. 300 g)
- 1 cucharada de aceite de oliva
- Sal y pimienta al gusto
- 1 aguacate maduro, en cubos
- 1 taza de espinacas frescas
- 1/2 taza de tomates cherry, cortados por la mitad
- Jugo de 1 limón
- 1 diente de ajo, picado (opcional)
- 1 cucharadita de orégano seco

## Instrucciones
1. **Cocinar el pollo:** En una sartén grande, calienta el aceite de oliva a fuego medio. Sazona las pechugas de pollo con sal, pimienta y el ajo picado. Cocina el pollo durante 5-7 minutos por cada lado o hasta que esté dorado y cocido por dentro (temperatura interna de 75°C). Retira del fuego y deja enfriar un poco.
  
2. **Preparar la ensalada:** Mientras el pollo se enfría, en un tazón grande mezcla las espinacas, los tomates cherry y el aguacate.

3. **Cortar el pollo:** Una vez que el pollo esté lo suficientemente frío, córtalo en tiras o cubos y agrégalo al tazón con las verduras.

4. **Preparar el aderezo:** En un tazón pequeño, mezcla el jugo de limón con el orégano, un poco de sal y pimienta al gusto. Bate bien para combinar.

5. **Montar la ensalada:** Vierte el aderezo sobre la ensalada y mezcla suavemente para cubrir todos los ingredientes sin dañar el aguacate. Sirve de inmediato.

## Pro Tips
- **Evita que el aguacate se oxide:** Agrega el aguacate justo antes de servir para mantenerlo fresco y de color vibrante.
- **Añade más verduras:** Puedes incluir otros vegetales frescos como pepino o pimientos para darle más variedad y color a la ensalada.

## Variaciones
- **Opción con pescado:** Sustituye el pollo por pescado a la parrilla, como salmón o atún.
- **Variantes herbales:** Agrega hierbas frescas como cilantro o perejil para un toque de frescura adicional."
SYN011,¿Tienes recetas halal con estilo mediterráneo para cuatro personas?,"# Ensalada de Garbanzos Mediterránea

**Tipo de Cocina:** Mediterránea  
**Tiempo de Preparación:** 15 minutos | **Tiempo de Cocción:** 0 minutos | **Total:** 15 minutos  
**Dificultad:** Fácil | **Rinde:** 4 personas

## Por qué esta receta funciona
Esta ensalada es fresca y vibrante, combinando la terrosidad de los garbanzos con la frescura de los vegetales y el sabor brillante de los condimentos mediterráneos. Los garbanzos aportan proteínas, mientras que las verduras añaden un crujido irresistible.

## Ingredientes
- 1 lata (400 g) de garbanzos, escurridos y enjuagados
- 1 pepino grande, picado
- 1 pimiento rojo, picado
- 1/2 cebolla roja, finamente picada
- 1 taza de tomates cherry, cortados por la mitad
- 1/4 de taza de perejil fresco, picado
- 1/4 de taza de aceitunas negras sin hueso, cortadas a la mitad
- 3 cucharadas de aceite de oliva
- 2 cucharadas de jugo de limón fresco
- Sal y pimienta al gusto
- 1 cucharadita de orégano seco

## Instrucciones
1. **Preparar los ingredientes:** En un tazón grande, combina los garbanzos, el pepino, el pimiento rojo, la cebolla roja, los tomates cherry, el perejil y las aceitunas. Mezcla suavemente con una cuchara grande para unir todo.
  
2. **Hacer el aliño:** En un tazón pequeño, mezcla el aceite de oliva, el jugo de limón, el orégano, la sal y la pimienta. Bate con un tenedor hasta que esté bien combinado.

3. **Aliñar la ensalada:** Vierte el aliño sobre la mezcla de garbanzos y verduras. Mezcla suavemente para asegurarte de que todo esté cubierto.

4. **Dejar reposar:** Deja reposar la ensalada durante al menos 10 minutos antes de servir para permitir que los sabores se mezclen.

5. **Servir:** Sirve en un plato grande o en tazones individuales. Puedes decorar con un poco más de perejil fresco si lo deseas.

## Pro Tips
- **Preparación anticipada:** Puedes preparar la ensalada con varias horas de anticipación. Esto realzará aún más los sabores a medida que se marinan.
- **Textura:** Si prefieres un toque crujiente, agrega un poco de aguacate justo antes de servir.

## Variaciones
- **Añadir proteínas:** Agrega trozos de pollo a la parrilla o atún en lata para transformar esta ensalada en un plato principal.
- **Sustitutos vegetarianos:** Usa queso feta (si es halal) o tofu para añadir un elemento cremoso y salado a la ensalada."
